variavel: Total das Receitas;;;;;;;;;
caminho: /Finanças Públicas/Tributos Federais/Total das Receitas;;;;;;;;;
fonte: Ministério da Fazenda - Secretaria da Receita Federal. ;;;;;;;;;
agrupador: Município;;;;;;;;;
descricao: ;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$)
Cristal do Sul;4306072;-27,452;-53,24219999999;1064807;1327485;1592889;1846360;2224092;2311206
Cruz Alta;4306106;-28,645;-53,60479999999;88147056;103844956;126727420;146988162;152626504;166636185
Cruzaltense;4306130;-27,6644;-52,6492;1119544;1372918;1680085;2105454;2082492;2332330
Cruzeiro do Sul;4306205;-29,5148;-51,9928;18139098;20890736;35627679;39545178;40478233;40492279
David Canabarro;4306304;-28,38489999999;-51,84819999999;2736430;3253224;4492933;5529327;5456063;6501029
Derrubadas;4306320;-27,26419999999;-53,8645;1439031;2007528;2446493;3053082;3144523;3155751
Dezesseis de Novembro;4306353;-28,219;-55,0617;618176;638710;907948;1101210;1164436;1204878
Dilermando de Aguiar;4306379;-29,7054;-54,2122;1327596;768089;1058462;1194999;1456679;1466045
Dois Irmãos;4306403;-29,5836;-51,08979999999;113117604;135594293;170848553;192939838;241749484;255363371
Dois Irmãos das Missões;4306429;-27,66209999999;-53,5304;1309745;2023699;2164928;2769259;3317731;3519707
Dois Lajeados;4306452;-28,983;-51,83959999999;1925602;2219813;3559430;4084147;4732131;5116138
Dom Feliciano;4306502;-30,70039999999;-52,1026;5529784;6069682;7592380;8981938;9661344;10329832
Dom Pedrito;4306601;-30,9756;-54,6694;30258265;32020804;40272563;46598184;53251692;61551219
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;2022992;1779840;1250825;1489206;2248486;2560266
Dona Francisca;4306700;-29,61949999999;-53,36169999999;1255955;1632037;2285613;2840682;3108273;3220126
Doutor Maurício Cardoso;4306734;-27,5103;-54,35779999999;2163320;2418685;3283503;3672320;3974284;4204620
Doutor Ricardo;4306759;-29,084;-51,9971;1633798;2440228;2964321;3510017;4344695;4089866
