variavel: Arrecadação Total;;;;;;;;;;;;
caminho: /Finanças Públicas/Tributos Estaduais/Arrecadação Total;;;;;;;;;;;;
fonte: Secretaria da Fazenda do Rio Grande do Sul. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$);2016 (R$);2017 (R$);2018 (R$)
Gravataí;4309209;-29,94129999999;-50,98689999999;275004605;305987596;344722544;420495679;480885586;505114541;560286309;503715782;534887467
Guabiju;4309258;-28,5421;-51,6948;450414;428652;383556;466396;534347;576852;460146;485086;786512
Guaíba;4309308;-30,10859999999;-51,3233;203885888;218714499;276998962;214176578;242135433;201471866;202609354;229227425;241897821
Guaporé;4309407;-28,8399;-51,88949999999;22179554;21710874;21691298;27387934;31432059;32583611;32697088;35125313;38370479
Guarani das Missões;4309506;-28,1491;-54,56289999999;3688946;3154593;1608752;1819495;2205124;1972711;2420377;2382124;2700099
Harmonia;4309555;-29,5456;-51,4185;3477294;2419644;3420102;5429294;6527120;7830206;8034464;9371624;9125549
Herval;4307104;-32,024;-53,39439999999;749502;775114;775548;943426;1166251;1055086;1138262;1275601;2252361
Herveiras;4309571;-29,4552;-52,65529999999;241489;260113;276455;330830;745119;892293;496126;380923;447845
Horizontina;4309605;-27,6282;-54,3053;15686156;29675977;43014432;71019084;75055746;57251710;64790870;65565921;91241432
Hulha Negra;4309654;-31,4067;-53,8667;892704;1245350;1223052;1164017;1224284;1290286;1309238;1515882;1764607
Humaitá;4309704;-27,56909999999;-53,96949999999;1436381;1193478;1331550;1817409;2379752;2291486;1759130;1864197;2426507
Ibarama;4309753;-29,4203;-53,1295;772201;690160;791808;1119386;1203555;1701525;1286240;1625217;1841731
Ibiaçá;4309803;-28,0566;-51,8599;2487126;3416446;4053408;6087322;5144652;5974849;6966249;7690678;7262683
Ibiraiaras;4309902;-28,37409999999;-51,6377;2587245;2634343;3205038;3562394;4137105;4628950;6635589;7123737;5543692
Ibirapuitã;4309951;-28,6247;-52,51579999999;419084;376349;401601;450048;549962;661885;869151;745317;949770
Ibirubá;4310009;-28,63019999999;-53,0961;16115026;17475781;25449257;24123490;27947113;41072370;39107343;41764288;61566573
Igrejinha;4310108;-29,56929999999;-50,79189999999;97758207;126823817;153680034;194323133;218058739;214987847;238765690;278613137;302631102
Ijuí;4310207;-28,3881;-53,92;75160680;93152386;107579553;103060709;113201534;126805214;140679973;145189450;161684738
Ilópolis;4310306;-28,9282;-52,12579999999;1384565;1073547;1148000;1542136;1867396;2005013;2224524;2294245;2825150
Imbé;4310330;-29,9753;-50,1281;3931984;4021465;4652244;5745058;7001409;6653289;7420460;7731682;8950297
Imigrante;4310363;-29,3508;-51,7747;10062830;12480775;13608329;18935048;23443193;12406498;15598658;17939168;22250230
Independência;4310405;-27,8354;-54,1886;1867247;1541599;1860910;1908511;2604923;2240725;2684486;3158248;4459982
Inhacorá;4310413;-27,8752;-54,015;124201;146363;411267;186353;231657;258791;774164;674439;530549
Ipê;4310439;-28,8171;-51,28589999999;1683936;1811436;2046528;2231743;2414848;2781660;2889439;2843203;3532204
Ipiranga do Sul;4310462;-27,9404;-52,4271;431594;520727;575655;722497;712835;736149;907517;871990;1117446
Iraí;4310504;-27,1951;-53,2543;10334253;21178032;30828505;35834674;42936216;35637577;27070569;4890109;6495851
Itaara;4310538;-29,60129999999;-53,7725;1431585;2107570;1644382;1622440;1764293;1878581;1711357;2161276;3955045
Itacurubi;4310553;-28,7913;-55,2447;201886;346169;260739;190009;281488;421505;466067;331728;453135
Itapuca;4310579;-28,7768;-52,1693;129048;143264;163063;226604;321283;235000;289986;244913;349073
Itaqui;4310603;-29,131;-56,55149999999;65058123;55575323;64979609;66142724;58084884;57346896;63988398;69998046;55159920
Itati;4310652;-29,48832;-50,11357999999;229118;260049;306861;342182;420808;430872;465069;563806;645381
Itatiba do Sul;4310702;-27,38459999999;-52,4538;552243;473569;505358;498498;603874;590076;634994;630486;893051
Ivorá;4310751;-29,52319999999;-53,5842;276985;292170;296345;322536;362227;397763;415105;483231;589342
Ivoti;4310801;-29,59949999999;-51,1533;41473494;38544637;48083093;51517606;48285103;63309361;65518132;82705662;84127625
Jaboticaba;4310850;-27,63469999999;-53,2762;395772;451922;510386;515214;757210;919537;732262;919145;904448
Jacuizinho;4310876;-29,02199999999;-53,05369999999;137823;171859;183383;302077;431116;276867;355251;1337263;664507
Jacutinga;4310900;-27,72909999999;-52,53719999999;1103453;754156;1034597;948747;1268404;1658277;1797031;1546947;1889432
Jaguarão;4311007;-32,5604;-53,377;8507126;6424798;6415328;8672936;8046367;9172339;10007091;13506100;13479446
Jaguari;4311106;-29,4936;-54,703;3194087;4253302;3540845;3741570;4173898;4641971;6035565;5912360;7106721
