variavel: de Pessoas de 15 Anos ou Mais;;;;
caminho: /Educação/Taxa de Analfabetismo/de Pessoas de 15 Anos ou Mais;;;;
fonte: Instituto Brasileiro de Geografia e Estatística. ;;;;
agrupador: Município;;;;
descricao: ;;;;
Município;ibge;latitude;longitude;2010 (%)
Maximiliano de Almeida;4312203;-27,6325;-51,8021;8,81
Minas do Leão;4312252;-30,13459999999;-52,04229999999;10,25
Miraguaí;4312302;-27,497;-53,6891;9,73
Montauri;4312351;-28,6462;-52,0767;6,61
Monte Alegre dos Campos;4312377;-28,68049999999;-50,7834;10,71
Monte Belo do Sul;4312385;-29,16069999999;-51,63329999999;2,4
Montenegro;4312401;-29,6824;-51,4679;3,74
Mormaço;4312427;-28,6968;-52,6999;10,22
Morrinhos do Sul;4312443;-29,3578;-49,9328;8,7
Morro Redondo;4312450;-31,58869999999;-52,6261;8,99
Morro Reuter;4312476;-29,5379;-51,08109999999;1,04
Mostardas;4312500;-31,10539999999;-50,91669999999;11,31
Muçum;4312609;-29,163;-51,8714;4,47
Muitos Capões;4312617;-28,31319999999;-51,18359999999;6,66
Muliterno;4312625;-28,32529999999;-51,7697;6,82
Não-Me-Toque;4312658;-28,45479999999;-52,81819999999;3,78
Nicolau Vergueiro;4312674;-28,5298;-52,46759999999;5,66
Nonoai;4312708;-27,3689;-52,77559999999;11,02
Nova Alvorada;4312757;-28,6822;-52,1631;7,82
Nova Araçá;4312807;-28,6537;-51,7458;2,48
Nova Bassano;4312906;-28,72909999999;-51,7072;3,29
Nova Boa Vista;4312955;-27,99259999999;-52,9784;2,5
Nova Bréscia;4313003;-29,2182;-52,0319;3,75
Nova Candelária;4313011;-27,6137;-54,10739999999;2,16
Nova Esperança do Sul;4313037;-29,4066;-54,8293;5,18
Nova Hartz;4313060;-29,5807;-50,90509999999;3,35
Nova Pádua;4313086;-29,0275;-51,3098;3,61
Nova Palma;4313102;-29,471;-53,46889999999;3,62
Nova Petrópolis;4313201;-29,37409999999;-51,1135;2,02
Nova Prata;4313300;-28,7799;-51,6113;2,88
Nova Ramada;4313334;-28,0667;-53,69919999999;6,44
Nova Roma do Sul;4313359;-28,98819999999;-51,4095;4,6
Nova Santa Rita;4313375;-29,85249999999;-51,2837;4,55
Novo Barreiro;4313490;-27,90769999999;-53,1103;10,78
Novo Cabrais;4313391;-29,73379999999;-52,9489;8,73
Novo Hamburgo;4313409;-29,6876;-51,1328;3,36
Novo Machado;4313425;-27,57649999999;-54,50359999999;7,22
Novo Tiradentes;4313441;-27,5649;-53,1837;15,28
Novo Xingu;4313466;-27,74309999999;-53,06159999999;5,52
Osório;4313508;-29,8881;-50,2667;4,19
Paim Filho;4313607;-27,7075;-51,76299999999;7,65
Palmares do Sul;4313656;-30,25349999999;-50,5103;8,18
Palmeira das Missões;4313706;-27,9006;-53,3134;8,73
Palmitinho;4313805;-27,3596;-53,558;8,95
Panambi;4313904;-28,2833;-53,50229999999;2,96
Pantano Grande;4313953;-30,1901;-52,3729;10,55
Paraí;4314001;-28,59639999999;-51,7896;2,75
Paraíso do Sul;4314027;-29,6717;-53,14399999999;7,57
Pareci Novo;4314035;-29,6365;-51,39739999999;1,66
Parobé;4314050;-29,6243;-50,8312;4,56
Passa Sete;4314068;-29,45769999999;-52,95989999999;12,84
Passo do Sobrado;4314076;-29,748;-52,27479999999;5,92
Passo Fundo;4314100;-28,2576;-52,4091;3,58
Paulo Bento;4314134;-27,6978;-52,42609999999;4,14
Paverama;4314159;-29,5485;-51,73389999999;6,35
Pedras Altas;4314175;-31,72169999999;-53,58379999999;9,96
Pedro Osório;4314209;-31,8642;-52,81839999999;8,65
Pejuçara;4314308;-28,4283;-53,65789999999;4,31
Pelotas;4314407;-31,7649;-52,3371;4,13
Picada Café;4314423;-29,4464;-51,13669999999;2,33
Pinhal;4314456;-27,50799999999;-53,20819999999;9,34
Pinhal da Serra;4314464;-27,86339999999;-51,1702;8,28
Pinhal Grande;4314472;-29,34499999999;-53,3207;7,99
Pinheirinho do Vale;4314498;-27,21089999999;-53,60799999999;10,36
Pinheiro Machado;4314506;-31,5794;-53,3798;9,81
Pirapó;4314555;-28,0439;-55,20009999999;13,73
Piratini;4314605;-31,44729999999;-53,09729999999;10,39
Planalto;4314704;-27,32969999999;-53,0575;11,29
Poço das Antas;4314753;-29,4481;-51,6719;2,74
Pontão;4314779;-28,05849999999;-52,67909999999;4,76
Ponte Preta;4314787;-27,6587;-52,4848;6,41
Portão;4314803;-29,70149999999;-51,24289999999;4,63
Porto Alegre;4314902;-30,032778;-51,23;2,28
Porto Lucena;4315008;-27,8569;-55,00999999999;8,63
Porto Mauá;4315057;-27,57959999999;-54,6657;6,61
Porto Vera Cruz;4315073;-27,7405;-54,8994;7,9
Porto Xavier;4315107;-27,9082;-55,1379;11,13
Pouso Novo;4315131;-29,1738;-52,2136;8,97
Presidente Lucena;4315149;-29,5176;-51,1798;2,2
Progresso;4315156;-29,24419999999;-52,31969999999;8,8
Protásio Alves;4315172;-28,7572;-51,4757;6,95
Putinga;4315206;-29,0045;-52,1569;8,8
Quaraí;4315305;-30,384;-56,4483;5,6
Quatro Irmãos;4315313;-27,81629999999;-52,44189999999;9,7
Quevedos;4315321;-29,3504;-54,07889999999;8,47
Quinze de Novembro;4315354;-28,7465;-53,1011;3,25
Redentora;4315404;-27,664;-53,6407;16,28
Relvado;4315453;-29,11639999999;-52,0778;4,7
Restinga Sêca;4315503;-29,8188;-53,38069999999;7,11
Rio dos Índios;4315552;-27,2973;-52,8417;14,85
Rio Grande;4315602;-32,0349;-52,1071;4,65
Rio Pardo;4315701;-29,988;-52,37109999999;8,27
Riozinho;4315750;-29,63899999999;-50,44879999999;8,39
Roca Sales;4315800;-29,28839999999;-51,8658;3,17
Rodeio Bonito;4315909;-27,4742;-53,1706;7,93
Rolador;4315958;-28,25767;-54,81864;7,8
Rolante;4316006;-29,6462;-50,58189999999;6,59
Ronda Alta;4316105;-27,7758;-52,80559999999;7,15
Rondinha;4316204;-27,83149999999;-52,90809999999;4,26
Roque Gonzales;4316303;-28,1297;-55,0266;7,1
Rosário do Sul;4316402;-30,2515;-54,9221;7,73
Sagrada Família;4316428;-27,7085;-53,1351;13,05
Saldanha Marinho;4316436;-28,3941;-53,097;5,22
Salto do Jacuí;4316451;-29,09509999999;-53,21329999999;8,57
Salvador das Missões;4316477;-28,1233;-54,83729999999;1,87
Salvador do Sul;4316501;-29,4386;-51,5077;2,31
Sananduva;4316600;-27,94699999999;-51,80789999999;5,53
Santa Bárbara do Sul;4316709;-28,3653;-53,25099999999;6,73
Santa Cecília do Sul;4316733;-28,1537;-51,9296;5,13
Santa Clara do Sul;4316758;-29,47469999999;-52,08429999999;3,88
Santa Cruz do Sul;4316808;-29,722;-52,4343;3,37
Santa Margarida do Sul;4316972;-30,32959999999;-54,08229999999;12,1
Santa Maria;4316907;-29,6868;-53,81499999999;3,17
Santa Maria do Herval;4316956;-29,4902;-50,9919;1,91
Santa Rosa;4317202;-27,8702;-54,47959999999;3,76
Santa Tereza;4317251;-29,1655;-51,7351;3,5
Santa Vitória do Palmar;4317301;-33,52499999999;-53,37169999999;6,46
Santana da Boa Vista;4317004;-30,8697;-53,10999999999;13,97
Santana do Livramento;4317103;-30,88769999999;-55,5315;4,23
Santiago;4317400;-29,18969999999;-54,86659999999;4,64
Santo Ângelo;4317509;-28,3001;-54,2668;4,23
Santo Antônio da Patrulha;4317608;-29,82679999999;-50,51749999999;9,05
Santo Antônio das Missões;4317707;-28,51399999999;-55,22509999999;9,31
Santo Antônio do Palma;4317558;-28,4956;-52,02669999999;5,19
Santo Antônio do Planalto;4317756;-28,40309999999;-52,69919999999;5,55
Santo Augusto;4317806;-27,85259999999;-53,7776;9,05
Santo Cristo;4317905;-27,8263;-54,66199999999;2,59
Santo Expedito do Sul;4317954;-27,90739999999;-51,6433;7,64
São Borja;4318002;-28,6578;-56,00359999999;6,51
São Domingos do Sul;4318051;-28,53119999999;-51,886;4,44
São Francisco de Assis;4318101;-29,5547;-55,1253;8,68
São Francisco de Paula;4318200;-29,4404;-50,58279999999;7,46
São Gabriel;4318309;-30,3337;-54,3217;7,99
São Jerônimo;4318408;-29,97159999999;-51,72509999999;8,58
São João da Urtiga;4318424;-27,8195;-51,82569999999;9,11
São João do Polêsine;4318432;-29,61939999999;-53,44389999999;4,65
São Jorge;4318440;-28,4984;-51,7064;3,82
São José das Missões;4318457;-27,7789;-53,12259999999;9,43
São José do Herval;4318465;-29,052;-52,295;16,31
São José do Hortêncio;4318481;-29,52799999999;-51,245;1,37
São José do Inhacorá;4318499;-27,7251;-54,12749999999;2,68
São José do Norte;4318507;-32,01509999999;-52,03309999999;17,33
São José do Ouro;4318606;-27,7707;-51,5966;6,04
São José do Sul;4318614;-29,529;-51,48709999999;2,36
São José dos Ausentes;4318622;-28,74759999999;-50,0677;7,11
São Leopoldo;4318705;-29,7545;-51,14979999999;3,17
São Lourenço do Sul;4318804;-31,3564;-51,97149999999;5,03
São Luiz Gonzaga;4318903;-28,41199999999;-54,9559;6,7
São Marcos;4319000;-28,9677;-51,0696;3,88
São Martinho;4319109;-27,7112;-53,9699;6,15
São Martinho da Serra;4319125;-29,5397;-53,859;9,63
São Miguel das Missões;4319158;-28,556;-54,5559;9,06
São Nicolau;4319208;-28,18339999999;-55,2654;12,87
São Paulo das Missões;4319307;-28,0195;-54,94039999999;6,22
São Pedro da Serra;4319356;-29,4193;-51,51339999999;1,97
São Pedro das Missões;4319364;-27,77321999999;-53,25047;14,12
São Pedro do Butiá;4319372;-28,1243;-54,8926;2,31
São Pedro do Sul;4319406;-29,6202;-54,18549999999;5,81
São Sebastião do Caí;4319505;-29,5885;-51,37489999999;3,51
São Sepé;4319604;-30,1643;-53,56029999999;7,51
São Valentim;4319703;-27,55829999999;-52,52369999999;9,37
São Valentim do Sul;4319711;-29,0451;-51,7684;4,23
São Valério do Sul;4319737;-27,7906;-53,93679999999;13,67
São Vendelino;4319752;-29,3729;-51,3675;1,17
São Vicente do Sul;4319802;-29,68819999999;-54,6826;7,51
Sapiranga;4319901;-29,63489999999;-51,0065;3,91
Sapucaia do Sul;4320008;-29,8276;-51,145;3,33
Sarandi;4320107;-27,942;-52,92309999999;5,04
Seberi;4320206;-27,4829;-53,4026;8
Sede Nova;4320230;-27,6367;-53,9493;8,7
Segredo;4320263;-29,3523;-52,9767;9,81
Selbach;4320305;-28,6294;-52,9498;3,74
Senador Salgado Filho;4320321;-28,025;-54,55069999999;6,04
Sentinela do Sul;4320354;-30,6107;-51,58619999999;7,57
Serafina Corrêa;4320404;-28,71259999999;-51,93529999999;3,15
Sério;4320453;-29,3904;-52,2685;11,95
Sertão;4320503;-27,9798;-52,2588;6,1
Sertão Santana;4320552;-30,45619999999;-51,6017;7,15
Sete de Setembro;4320578;-28,13619999999;-54,4637;4,99
Severiano de Almeida;4320602;-27,43619999999;-52,12169999999;6,15
Silveira Martins;4320651;-29,64669999999;-53,591;5,4
Sinimbu;4320677;-29,53569999999;-52,5305;8,01
Sobradinho;4320701;-29,4194;-53,0326;6,62
Soledade;4320800;-28,8306;-52,5131;8,9
Tabaí;4320859;-29,643;-51,68229999999;8,02
Tapejara;4320909;-28,0652;-52,0097;3,69
Tapera;4321006;-28,6277;-52,86119999999;5,18
Tapes;4321105;-30,66829999999;-51,39909999999;6,98
Taquara;4321204;-29,6505;-50,7753;4,34
Taquari;4321303;-29,7943;-51,86529999999;6,45
Taquaruçu do Sul;4321329;-27,4004;-53,4703;8,63
Tavares;4321352;-31,2843;-51,088;14,4
Tenente Portela;4321402;-27,37109999999;-53,75849999999;8,62
Terra de Areia;4321436;-29,57819999999;-50,06439999999;7,25
Teutônia;4321451;-29,4482;-51,8044;2
Tio Hugo;4321469;-28,57404;-52,5949;6,33
Tiradentes do Sul;4321477;-27,4022;-54,0814;10,75
Toropi;4321493;-29,4782;-54,2244;6,04
Torres;4321501;-29,3334;-49,7333;4,6
Tramandaí;4321600;-29,9841;-50,13219999999;4,07
Travesseiro;4321626;-29,29769999999;-52,05319999999;4,01
Três Arroios;4321634;-27,50029999999;-52,14479999999;3,94
Três Cachoeiras;4321667;-29,44869999999;-49,9275;5,92
Três Coroas;4321709;-29,5137;-50,77389999999;3,97
Três de Maio;4321808;-27,78;-54,2357;4,44
