variavel: Total;;;;;;;;;;;;
caminho: /Contabilidade Social/Série 2002 em diante/PIB/Total;;;;;;;;;;;;
fonte: Fundação de Economia e Estatística/Núcleo de Contabilidade Social. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$ mil);2011 (R$ mil);2012 (R$ mil);2013 (R$ mil);2014 (R$ mil);2015 (R$ mil);2016 (R$ mil);2017 (R$ mil);2018 (R$ mil)
Candiota;4304358;-31,5515;-53,6773;659547,17;310791,25;117389,19;116695,54;201722,02;267846,72;464575,56;504959,31;630089,73
Canela;4304408;-29,356;-50,8119;508128,38;538096,36;678693,22;721651,14;810680,76;905583,29;955345,9;1001465,15;1129074,54
Canguçu;4304507;-31,396;-52,67819999999;478821,9;522175,3;571338,69;782774,59;892412,53;946229,04;1080936,2;1140453,66;1113646,29
Canoas;4304606;-29,9128;-51,18569999999;12718014,01;10605535,45;9794767,04;11219229,68;9986300,07;16245260,98;20133836,12;18947513,38;19177607
Canudos do Vale;4304614;-29,3187;-52,23449999999;22345,32;25351,73;28119,8;36473,13;40965,62;40124,43;43872,32;42190,08;43295,23
Capão Bonito do Sul;4304622;-29,76419999999;-50,02819999999;84105,4;78934,06;76414,67;107375,64;110320,31;116552,4;137898,25;143309;197276,98
Capão da Canoa;4304630;-29,6397;-49,95989999999;653655,26;761460,42;867172,4;953132,86;1068041,01;1199499,02;1363923,77;1441573,49;1434599,19
Capão do Cipó;4304655;-28,904;-54,7;129685,37;151767,23;103077,86;236048,72;240982,75;242862,87;265036,44;241954,03;322349,92
Capão do Leão;4304663;-31,75649999999;-52,4889;272055,71;296884,38;343636,25;372841,4;414971,75;521325,29;498462,43;542227,21;507742,85
Capela de Santana;4304689;-29,6961;-51,328;102902,43;99496,5;117221,19;152442,5;165557,5;179858,93;197305,26;197605,68;202713,56
Capitão;4304697;-29,26739999999;-51,9853;35820,15;36984,45;41079,72;54476,13;59320,85;60158,48;60454,1;67618,66;65096,77
Capivari do Sul;4304671;-30,1382;-50,51509999999;129263,59;113088,47;150377,72;177997,19;184750,81;201397,51;224582,2;222233,7;208039,11
Caraá;4304713;-29,78689999999;-50,4316;47901,84;52389,28;59017;78235,88;85127,89;89689,59;99147,15;102215,78;110128,7
Carazinho;4304705;-28,2958;-52,7933;1157959;1397676,02;1472637,47;1830411,76;2163639,38;2494788,07;2723341,41;2611747,23;3010178,7
Carlos Barbosa;4304804;-29,2969;-51,50289999999;1010716,57;1155782,67;1330058,58;1462810,1;1743656,48;1842227,3;2028627,72;2204423,29;2529089,37
Carlos Gomes;4304853;-27,71669999999;-51,9121;19432,03;21532,95;21348,45;29530,86;30385,06;30545,58;36657,43;33061,21;38911,55
Casca;4304903;-28,5605;-51,98149999999;214235,05;241041,69;259387,05;314266,99;344286,6;370937,28;408519,86;407996,26;438079,5
Caseiros;4304952;-28,25819999999;-51,6861;53011,49;50637,73;55054,41;84807,62;91819,2;103830,2;115304,03;120027,63;135657,17
Catuípe;4305009;-28,2554;-54,01319999999;151585,98;194442,75;138757,6;267027,96;259372,83;302139,43;350768,44;330740,36;389335,8
Caxias do Sul;4305108;-29,1629;-51,1792;16471201,25;18800366,23;20150487,82;21396940,34;22421399,77;20633381,62;20069797,09;21717020,24;24678914,51
Centenário;4305116;-27,7616;-51,99839999999;31708,94;38898,77;41849,76;50106,94;55109,08;62154,02;73359,16;69413,99;73991,87
Cerrito;4305124;-31,84189999999;-52,8004;52861,43;55468,86;60834,53;74878,64;78760,29;87327,12;89235,98;98973,45;93747,27
Cerro Branco;4305132;-29,657;-52,9406;44612,99;49121,46;51602,72;62392,54;66429,4;67587,5;66325,27;74320,91;72396,54
Cerro Grande;4305157;-27,6106;-53,1672;28000,35;32716,13;24659,77;42993,41;40891,57;46605,69;51558,35;46269,69;56202,19
Cerro Grande do Sul;4305173;-30,59049999999;-51,74179999999;88898,01;94434,89;108586,37;133276,1;142350,57;151709,76;169883,63;167690,28;160189,2
Cerro Largo;4305207;-28,1462;-54,7428;382027,85;417390,63;482540,46;590002,24;572254,44;583510,44;626560,73;640790,39;734291,9
Chapada;4305306;-28,0559;-53,06649999999;223012,52;257116,76;202057,74;347237,68;359497,3;394317,65;435319,38;436887,42;468067,72
Charqueadas;4305355;-29,9625;-51,6289;885720,39;880591,67;1000725,83;1011897,83;1069469,4;1101314,56;1035380,99;1050976,29;1711191,74
Charrua;4305371;-27,9493;-52,015;47095,69;54939,74;53626,84;71448,01;68065,89;70924,67;80133,52;70793,52;91747,29
Chiapetta;4305405;-27,92299999999;-53,94189999999;87422,35;115830,94;71406,88;163532,27;163178,19;180343,55;190457,07;197362,1;214014,48
Chuí;4305439;-33,68659999999;-53,4594;77517,07;83917,81;101773,21;131998,08;152912,32;196370,27;217506,96;240582,01;379119,06
Chuvisca;4305447;-30,75039999999;-51,9737;56075,09;58918,8;66759,04;97093,07;102043,49;95608,82;117451,71;103800,15;102128,23
Cidreira;4305454;-30,16039999999;-50,2338;134801,45;153240,12;176682,54;198968,21;219505,94;241318,01;266589,64;278660,82;279667,84
Ciríaco;4305504;-28,34189999999;-51,87409999999;78475,81;96524,78;85802,35;115831,69;112694,89;115402,93;131086,55;120907;148825,89
Colinas;4305587;-29,38149999999;-51,8526;34201,3;35712,68;38961,9;59771,78;64936,27;65983,05;66668,13;68074,42;58846,56
Colorado;4305603;-28,5258;-52,9928;86792,08;108091,94;80723,62;150892,55;131150,57;155612,75;182364,7;172326,74;210616,92
Condor;4305702;-28,2075;-53,49049999999;167681,63;206714,08;165630,95;253672,34;261732,17;304988,16;327581,39;313699,85;387529,19
Constantina;4305801;-27,73199999999;-52,9938;133239,08;152372,06;152426,98;223110,78;235113,4;244547,74;268805,53;269562,28;303825,22
Coqueiro Baixo;4305835;-29,1722;-52,0989;21569,55;24408,3;24243,85;28844,79;28389,95;32840,83;33028,09;32720,84;33888,03
Coqueiros do Sul;4305850;-28,11939999999;-52,78419999999;54683,22;60013,16;51591,81;79429,27;86316,7;92273,53;107594,75;103674,69;121395,17
Coronel Barros;4305871;-28,39219999999;-54,0686;46137,75;59772,55;57967,15;85468,45;77498,33;94425,78;109070,97;141681,07;121401,58
Coronel Bicaco;4305900;-27,7197;-53,70219999999;147487,38;158023,84;139630,88;219543,92;228473,17;246525,67;306912,14;263684,97;299137,23
Coronel Pilar;4305934;-29,2684;-51,68789999999;24512,28;25771,79;25207,9;32713,17;34647,3;35419;34851,84;38672,46;39566,04
Cotiporã;4305959;-28,9891;-51,69709999999;59292,59;66690,77;67278,83;74604,37;88840,59;131137,51;125029,45;145836,71;158085,78
Coxilha;4305975;-28,128;-52,3023;96159,51;115834,44;118593,43;164858,87;159703,93;181578,31;208413,61;201007,02;219150,2
Crissiumal;4306007;-27,4999;-54,0994;191327,84;194107,02;202795,13;249822,75;268286,47;292273,36;320187,82;330299,18;345503,63
Cristal;4306056;-31,0046;-52,04359999999;91589,8;101221,29;113274,85;137586,22;151949,25;164580,37;166549,94;197782,4;179302,66
Cristal do Sul;4306072;-27,452;-53,24219999999;30002,01;31483,54;28975,86;45576,19;47885,71;51778,63;56437,59;50839,76;58834,05
Cruz Alta;4306106;-28,645;-53,60479999999;1426495,56;1802054,02;1841514,25;2662760,8;2678501,71;3001548,44;3160653,78;3188890,15;3949025,93
Cruzaltense;4306130;-27,6644;-52,6492;35044,53;39785,64;39201,52;60104,34;53416,79;62418,5;74164,55;69090,57;85409,13
Cruzeiro do Sul;4306205;-29,5148;-51,9928;157715,32;181854,43;229173,68;263555,08;283030,38;301001,98;326836,96;348752,02;357027,85
David Canabarro;4306304;-28,38489999999;-51,84819999999;72399,97;80898,54;80284,31;107209,13;119065,35;116502,08;128720,11;120359,71;147080,13
Derrubadas;4306320;-27,26419999999;-53,8645;44273,15;50820,65;47615,29;72138,88;71078,95;70802,63;77764,32;76699,29;82106,89
Dezesseis de Novembro;4306353;-28,219;-55,0617;23040,78;24051,73;23101,02;29554,05;32122,09;34313,45;39384,67;37652,35;39471,43
Dilermando de Aguiar;4306379;-29,7054;-54,2122;53181,81;59653,21;58730,86;89981,69;91835,78;105122,89;123551,41;107526,18;143899,61
Dois Irmãos;4306403;-29,5836;-51,08979999999;947058,17;1033626,67;1208096,36;1323858,23;1495877,08;1539788,08;1677320,43;1688573,61;2001767,21
Dois Irmãos das Missões;4306429;-27,66209999999;-53,5304;56592,4;68136,37;40970,19;89843,41;83888,89;93688,35;111608,73;102498,5;115144,26
Dois Lajeados;4306452;-28,983;-51,83959999999;56791,71;60960,81;59456,3;72382,19;78354,75;84876,8;88811,47;92835,76;96464,37
Dom Feliciano;4306502;-30,70039999999;-52,1026;142956,81;140472,98;157565,9;183585,57;199480,62;224648,6;230131,71;249429,75;237763,64
Dom Pedrito;4306601;-30,9756;-54,6694;622454,95;642765,74;775884,68;983224,83;1035039,13;1180775,2;1235610,95;1363474,32;1325429,3
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;42202,57;32661,82;33176,63;46070,56;46984,67;46787,45;52681,2;56178,82;54602,82
Dona Francisca;4306700;-29,61949999999;-53,36169999999;36876,45;44330,18;50315,25;60857,33;66061,95;66208,52;67236,97;72881,96;75271,91
Doutor Maurício Cardoso;4306734;-27,5103;-54,35779999999;87693,03;108548,98;114720,96;146178,38;183611,74;167406,33;186618,02;174514,42;196158,02
Doutor Ricardo;4306759;-29,084;-51,9971;30805,68;34690,82;36658,13;46488,28;52786,92;56581,41;52521,76;52180,27;52217,08
Eldorado do Sul;4306767;-30,0847;-51,61869999999;682531,7;747105,31;789144,29;960837,51;1197276,1;1278482,32;1477421,5;1590084,64;1607476,44
Encantado;4306809;-29,23509999999;-51,8703;438226,36;467409,91;540279,93;611211,49;678899,16;737390,39;795467,91;827010,76;886854,35
Encruzilhada do Sul;4306908;-30,54299999999;-52,5204;224790,15;255817,3;265586,79;328497,19;396547,73;448594,13;572998,58;535724,6;535600,12
Engenho Velho;4306924;-27,706;-52,91449999999;28613,18;28279,76;26104,61;40637,5;41669;49960,69;53130,26;47682,91;49620,76
Entre Rios do Sul;4306957;-27,5298;-52,73469999999;308156,72;323010,09;272616,67;258026,42;110536,92;153901,23;195298,81;192831,86;193270,42
Entre-ijuís;4306932;-28,3686;-54,26859999999;140455,35;174498,59;121260,91;262858,51;261723,6;281460,09;360662,61;342757,16;405647,81
Erebango;4306973;-27,85439999999;-52,3005;46475,98;63127,73;55488,53;75752,6;79944,17;86332,13;106591,85;103243,56;110388,07
Erechim;4307005;-27,63639999999;-52,2697;2397415,41;2838442,58;3203059,62;4067165,68;4096603,26;4262267,16;4399222,03;4484451,99;4946250,14
Ernestina;4307054;-28,49769999999;-52,58359999999;68797,77;79977,54;75186,44;107391,1;111312,93;135461,04;153709,9;130766,34;144615,32
Erval Grande;4307203;-27,3926;-52,57399999999;52430,56;65604,32;56507,7;66454,96;90010;84180,69;91136,5;91536,18;94169,82
Erval Seco;4307302;-27,5443;-53,5005;103634,41;128218,88;125748,23;194011,73;194144,77;213769,03;246361,3;230346,34;231812,68
Esmeralda;4307401;-28,0518;-51,1933;93010,51;97073,69;94581,74;132228,69;151843,15;165483,95;203357,7;178990,88;215521,6
Esperança do Sul;4307450;-27,36029999999;-53,9891;35742,16;42757,17;43416,84;57533,07;57883,07;60311,02;68321,75;68346,15;71705,95
Espumoso;4307500;-28,7286;-52,8461;292440,21;365103,74;395668,31;569888,39;550367,75;606732,81;666541,06;667390,85;774289,97
Estação;4307559;-27,91349999999;-52,2635;106867,32;133311,23;151457,38;188133,67;203509,61;216547,3;255386,64;322307,78;358761,52
Estância Velha;4307609;-29,6535;-51,1843;890155,4;954579,58;1002388,36;1150481,46;1299312,53;1337683,69;1325100,69;1310204,57;1462099,29
Esteio;4307708;-29,852;-51,1841;2096485,97;2211747,82;2446931,59;2715260,47;2930039,97;3115215,45;3373535,95;3183305,49;3179328,28
Estrela;4307807;-29,5016;-51,9605;854164,54;1018938,53;1151912,53;1202855,1;1226800,84;1163125,71;1359403,24;1275215,49;1474062,3
Estrela Velha;4307815;-29,17129999999;-53,16389999999;64586,83;77393,47;77851,45;118238,2;123123,13;106074;116771,59;126031,85;128429,76
Eugênio de Castro;4307831;-28,5315;-54,15059999999;91912,21;114886,83;101463,55;163136,35;139268,98;149103,43;196069,35;174352,71;208361,8
Fagundes Varela;4307864;-28,8794;-51,7014;40801,15;45044,01;45461,46;61025,77;67749,32;71816,21;77100,63;78638,05;77465,58
Farroupilha;4307906;-29,2227;-51,3419;1853766,24;2021205,45;2128240,11;2430376,63;2733336,39;2821296,29;3054450,32;3161846,9;3426684,49
Faxinal do Soturno;4308003;-29,5788;-53,44839999999;98131,75;147349,06;112301,95;148459,91;141775,12;156964,77;172458,13;185254,07;202939,69
Faxinalzinho;4308052;-27,4238;-52,67889999999;28684,64;36337,96;33161,27;51422,77;50225,92;52933,76;65212,28;56252,34;65748,17
Fazenda Vilanova;4308078;-29,5885;-51,8217;117144,02;102214,78;98372,15;102755,78;103850,34;115941,05;119824,59;115058,21;114938,68
Feliz;4308102;-29,4527;-51,30319999999;230756,16;261038,96;290258,38;313965;353058,88;359598,95;386876,28;402873,73;422475,51
Flores da Cunha;4308201;-29,02619999999;-51,1875;746720,31;872967,09;985431,58;1103896,57;1253126,06;1299362,37;1313953,32;1481282,08;1623650,31
Floriano Peixoto;4308250;-27,8614;-52,08379999999;31200,85;37622,24;36519,31;43241,93;50113,17;50905,42;53294,22;50303,14;58932,04
Fontoura Xavier;4308300;-28,9816;-52,34449999999;100063,25;120407,3;115367,96;143751,94;160281,53;162089,35;181012,12;186420,55;200693,86
Formigueiro;4308409;-30,00349999999;-53,49589999999;84746,94;88079,15;98463,68;133165,93;145053,95;173094,04;170113,15;182092,32;189822,34
Forquetinha;4308433;-29,3792;-52,0917;38520,4;30133,62;31579,62;37005,04;40421,4;40224,03;42022,92;40708,2;42232,19
Fortaleza dos Valos;4308458;-28,7986;-53,22489999999;113382,99;148831,35;139766,85;224965,67;244392,59;243246,93;276734,95;247741,45;324155,7
Frederico Westphalen;4308508;-27,35859999999;-53,3958;620513,16;622016,15;668507,16;793110,74;871105,76;926893,3;1020626,52;1050979,17;1142319,42
Garibaldi;4308607;-29,259;-51,5352;1013878,19;1132434,08;1311829,53;1457787,99;1647228,62;1693057,64;1736797,02;1812741,95;2076992,47
Garruchos;4308656;-28,1944;-55,6383;60232,28;65577,93;58963,9;98060,18;91642,44;106394,93;117721,3;102349,23;125238,37
Gaurama;4308706;-27,58559999999;-52,0915;98412,1;112481,96;128262,03;160178,58;165194,77;186892,14;216484,68;230041,39;235322,44
General Câmara;4308805;-29,90319999999;-51,7612;95969,66;90560,92;91849,34;127088,45;126615,53;138627,37;147806,02;151172,88;157777,33
Gentil;4308854;-28,4316;-52,0337;49232,96;61439,55;72982,19;88751,64;88191,11;95759,07;114235,57;99166,13;110236,74
Getúlio Vargas;4308904;-27,8911;-52,22939999999;291019,98;330097,88;350986,33;408544,38;445219,01;457497,1;494417,39;498601,53;554630
Giruá;4309001;-28,02969999999;-54,3517;377335,49;443439,71;376564,86;555783,97;571528,11;612031,06;705589,36;636942,56;784935,68
Glorinha;4309050;-29,87979999999;-50,7734;291730,03;304701,93;358616,63;357624,97;321186,88;358316,16;335995,59;339676;329453,77
Gramado;4309100;-29,3733;-50,87619999999;904019,54;1023978,55;1209337,82;1344590,45;1509955,95;1651043,38;1655187,36;1720060,77;1969579,62
