variavel: Total;;;;;;;;
caminho: /Educação/Ensino Médio/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Porto Vera Cruz;4315073;-27,7405;-54,8994;23;24;19;30;18
Porto Xavier;4315107;-27,9082;-55,1379;128;129;129;147;124
Pouso Novo;4315131;-29,1738;-52,2136;10;27;17;17;13
Presidente Lucena;4315149;-29,5176;-51,1798;25;27;25;23;24
Progresso;4315156;-29,24419999999;-52,31969999999;79;67;58;56;65
Protásio Alves;4315172;-28,7572;-51,4757;30;21;19;19;9
Putinga;4315206;-29,0045;-52,1569;36;45;34;46;22
Quaraí;4315305;-30,384;-56,4483;179;153;110;184;197
Quatro Irmãos;4315313;-27,81629999999;-52,44189999999;14;12;8;24;8
Quevedos;4315321;-29,3504;-54,07889999999;18;20;15;15;29
Quinze de Novembro;4315354;-28,7465;-53,1011;33;39;19;30;27
Redentora;4315404;-27,664;-53,6407;61;70;73;64;63
Relvado;4315453;-29,11639999999;-52,0778;26;19;13;14;27
Restinga Sêca;4315503;-29,8188;-53,38069999999;51;74;70;89;129
Rio dos Índios;4315552;-27,2973;-52,8417;22;41;34;22;34
Rio Grande;4315602;-32,0349;-52,1071;1192;1048;1122;1196;1312
Rio Pardo;4315701;-29,988;-52,37109999999;271;240;277;255;259
Riozinho;4315750;-29,63899999999;-50,44879999999;40;42;33;35;42
Roca Sales;4315800;-29,28839999999;-51,8658;86;78;99;70;104
Rodeio Bonito;4315909;-27,4742;-53,1706;52;31;46;62;51
Rolador;4315958;-28,25767;-54,81864;24;26;27;28;26
Rolante;4316006;-29,6462;-50,58189999999;132;149;136;86;153
Ronda Alta;4316105;-27,7758;-52,80559999999;71;62;69;60;67
Rondinha;4316204;-27,83149999999;-52,90809999999;76;75;70;75;68
Roque Gonzales;4316303;-28,1297;-55,0266;50;46;43;50;52
Rosário do Sul;4316402;-30,2515;-54,9221;218;252;277;214;292
