variavel: Total;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Total;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (MWh);2011 (MWh);2012 (MWh);2013 (MWh);2014 (MWh);2015 (MWh);2016 (MWh);2017 (MWh);2018 (MWh)
Charqueadas;4305355;-29,9625;-51,6289;433149;423524;399020;431019;388735;342728;65075;52893;53653
Charrua;4305371;-27,9493;-52,015;951;986;1007;975;1011;1039;1111;1117;1099
Chiapetta;4305405;-27,92299999999;-53,94189999999;3071;3201;3304;3300;3596;3625;3902;4258;4143
Chuí;4305439;-33,68659999999;-53,4594;9467;10485;10921;11643;13026;13434;14109;15057;15811
Chuvisca;4305447;-30,75039999999;-51,9737;4426;4915;5283;5571;6350;5909;5866;6897;6597
Cidreira;4305454;-30,16039999999;-50,2338;28378;30000;30649;31738;35289;33939;33174;34164;34223
Ciríaco;4305504;-28,34189999999;-51,87409999999;10714;11585;11867;12122;13139;13073;13602;14347;14761
Colinas;4305587;-29,38149999999;-51,8526;4687;5404;5849;6342;6561;5904;5871;5830;6305
Constantina;4305801;-27,73199999999;-52,9938;12495;13172;13796;14352;15741;15667;16451;17138;17381
Coqueiro Baixo;4305835;-29,1722;-52,0989;1246;1313;1431;1420;1522;1468;1497;1585;1641
Coronel Bicaco;4305900;-27,7197;-53,70219999999;8373;8212;7657;7706;8402;8321;8800;9634;9914
Coronel Pilar;4305934;-29,2684;-51,68789999999;1466;1452;1512;1941;1931;1952;2002;2055;2115
Cotiporã;4305959;-28,9891;-51,69709999999;7388;7734;8114;8654;9274;8928;9043;9065;9196
Coxilha;4305975;-28,128;-52,3023;3607;3929;4259;4557;4971;4998;5126;5326;5400
Crissiumal;4306007;-27,4999;-54,0994;19526;19566;20808;20786;22829;22187;22930;23701;24458
Cristal;4306056;-31,0046;-52,04359999999;10355;11706;12071;12454;13904;13441;13678;13852;14084
Cristal do Sul;4306072;-27,452;-53,24219999999;331;348;372;378;403;402;389;420;446
Cruz Alta;4306106;-28,645;-53,60479999999;118483;126136;136632;131731;151524;138449;147955;143899;143824
Cruzaltense;4306130;-27,6644;-52,6492;2835;4736;5389;5745;6209;5997;6446;6219;5833
Cruzeiro do Sul;4306205;-29,5148;-51,9928;29034;29593;33278;34577;37873;35921;37115;37468;40913
David Canabarro;4306304;-28,38489999999;-51,84819999999;3114;3284;3487;3746;3830;3885;4067;4234;4436
Derrubadas;4306320;-27,26419999999;-53,8645;3067;3287;3402;3593;3995;4004;4170;4360;4595
Dezesseis de Novembro;4306353;-28,219;-55,0617;2982;3206;3103;1914;2090;2056;2064;2091;2201
Dilermando de Aguiar;4306379;-29,7054;-54,2122;4281;3964;4074;3920;4288;3825;4320;4586;4762
Dois Irmãos;4306403;-29,5836;-51,08979999999;63494;67033;69637;72261;78733;74363;75236;75092;76782
Dois Irmãos das Missões;4306429;-27,66209999999;-53,5304;16230;20818;21620;18532;18594;18386;18992;20970;22550
Dois Lajeados;4306452;-28,983;-51,83959999999;10807;10240;9964;10070;11049;11223;11585;11580;11393
Dom Feliciano;4306502;-30,70039999999;-52,1026;10314;11423;12217;12963;14820;14443;14699;16891;16516
Dom Pedrito;4306601;-30,9756;-54,6694;70819;79838;78815;69917;78214;78555;79178;78191;81266
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;9744;6542;5662;12447;5035;5014;4916;4992;5186
Doutor Maurício Cardoso;4306734;-27,5103;-54,35779999999;6231;6252;6686;6689;7475;7298;7459;8001;7989
Doutor Ricardo;4306759;-29,084;-51,9971;4038;4357;4602;4746;5257;5094;5064;5121;5254
Eldorado do Sul;4306767;-30,0847;-51,61869999999;84794;86306;87415;88230;97908;94311;88632;78140;78981
Encantado;4306809;-29,23509999999;-51,8703;68148;69202;74561;78608;84493;83780;83755;83438;88851
Encruzilhada do Sul;4306908;-30,54299999999;-52,5204;22876;24434;25465;25216;26797;25940;27434;29597;29696
Engenho Velho;4306924;-27,706;-52,91449999999;1706;1652;1777;1808;1901;1988;1942;2052;2015
Entre Rios do Sul;4306957;-27,5298;-52,73469999999;3681;3961;4129;4265;10604;17127;18176;18763;18706
Entre-ijuís;4306932;-28,3686;-54,26859999999;11928;15339;25977;15832;14875;15049;16252;13973;12017
Erebango;4306973;-27,85439999999;-52,3005;4107;4197;4425;4313;4609;4483;4062;4371;4393
Erechim;4307005;-27,63639999999;-52,2697;218958;241771;249908;273237;299071;288062;292082;300429;293147
Ernestina;4307054;-28,49769999999;-52,58359999999;4394;4695;4054;4201;4522;4682;4991;5103;5163
Erval Grande;4307203;-27,3926;-52,57399999999;6538;6752;6866;7050;7807;7667;7494;7998;8138
