variavel: Total;;;;;;;;;;;;
caminho: /Comunicações/Acessos à Internet/Meio de Acesso/Total;;;;;;;;;;;;
fonte: Agência Nacional de Telecomunicações.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Gramado Xavier;4309159;-29,2706;-52,5795;12;42;163;150;150;190;315;425;3686
Gravataí;4309209;-29,94129999999;-50,98689999999;70299;257328;415299;445989;445989;500146;530832;556714;618191
Guabiju;4309258;-28,5421;-51,6948;250;557;1112;1716;1716;2115;2479;2940;2907
Guaíba;4309308;-30,10859999999;-51,3233;24923;98263;147051;161163;161163;167062;173676;189613;201269
Guaporé;4309407;-28,8399;-51,88949999999;4403;12684;20184;24684;24684;50393;55331;91636;89314
Guarani das Missões;4309506;-28,1491;-54,56289999999;1387;4589;5170;4988;4988;4977;4917;5043;6785
Harmonia;4309555;-29,5456;-51,4185;271;783;1169;1196;1196;1104;907;849;8959
Herval;4307104;-32,024;-53,39439999999;669;1718;2507;2847;2847;3227;4005;4604;4854
Herveiras;4309571;-29,4552;-52,65529999999;267;695;4865;6002;6002;5069;5664;2703;1889
Horizontina;4309605;-27,6282;-54,3053;3953;10900;12509;14627;14627;15156;10468;11142;15090
Hulha Negra;4309654;-31,4067;-53,8667;31;333;813;818;818;861;1071;1722;2165
Humaitá;4309704;-27,56909999999;-53,96949999999;346;1006;750;712;712;769;856;849;3426
Ibarama;4309753;-29,4203;-53,1295;20;217;678;867;867;1094;1258;1316;2408
Ibiaçá;4309803;-28,0566;-51,8599;555;1646;1995;2038;2038;2056;1820;1706;3591
Ibiraiaras;4309902;-28,37409999999;-51,6377;190;688;1326;1419;1419;1674;2184;2633;5283
Ibirapuitã;4309951;-28,6247;-52,51579999999;168;649;643;646;646;699;775;909;1462
Ibirubá;4310009;-28,63019999999;-53,0961;3228;13301;35513;62991;62991;38802;12932;12905;56048
Igrejinha;4310108;-29,56929999999;-50,79189999999;6375;19137;25026;25650;25650;23455;21689;17880;20507
Ijuí;4310207;-28,3881;-53,92;19714;71337;84560;98682;98682;97709;73299;91647;163278
Ilópolis;4310306;-28,9282;-52,12579999999;373;1176;1471;1439;1439;1306;985;1280;1697
Imbé;4310330;-29,9753;-50,1281;5393;16479;23148;24708;24708;25159;25501;30040;61728
Imigrante;4310363;-29,3508;-51,7747;1148;3144;4684;5210;5210;5477;5475;5556;7210
Independência;4310405;-27,8354;-54,1886;278;1133;1703;1927;1927;1908;1859;1365;1477
Inhacorá;4310413;-27,8752;-54,015;23;191;262;317;317;418;502;364;374
Ipê;4310439;-28,8171;-51,28589999999;465;1210;1936;3250;3250;3107;3937;6981;10013
Ipiranga do Sul;4310462;-27,9404;-52,4271;195;621;2658;1677;1677;1291;1949;2022;2741
Iraí;4310504;-27,1951;-53,2543;595;1567;1744;1683;1683;1662;1762;1750;3424
Itaara;4310538;-29,60129999999;-53,7725;425;1397;2270;2609;2609;2655;2691;2752;5019
Itacurubi;4310553;-28,7913;-55,2447;4;233;913;853;853;1077;1069;1312;1428
Itapuca;4310579;-28,7768;-52,1693;9;35;74;76;76;88;141;431;1192
Itaqui;4310603;-29,131;-56,55149999999;6394;20498;26977;32201;32201;33069;32062;33925;47326
Itati;4310652;-29,48832;-50,11357999999;9;43;142;151;151;165;252;319;478
Itatiba do Sul;4310702;-27,38459999999;-52,4538;163;731;1242;1166;1166;1143;665;822;534
Ivorá;4310751;-29,52319999999;-53,5842;42;414;1304;1419;1419;1453;1487;1584;2252
Ivoti;4310801;-29,59949999999;-51,1533;5975;18974;25502;27565;27565;31979;31543;31196;52253
Jaboticaba;4310850;-27,63469999999;-53,2762;129;513;912;1011;1011;1056;1091;1157;3294
Jacuizinho;4310876;-29,02199999999;-53,05369999999;11;28;123;110;110;619;693;1004;1354
Jacutinga;4310900;-27,72909999999;-52,53719999999;372;1117;1731;1465;1465;1501;1512;1583;2475
Jaguarão;4311007;-32,5604;-53,377;5509;21714;33746;33689;33689;32748;34202;26122;20898
Jaguari;4311106;-29,4936;-54,703;1531;4321;6657;9685;9685;9359;10902;14873;16230
Jaquirana;4311122;-28,8811;-50,3637;146;451;695;879;879;858;798;732;3220
Jari;4311130;-29,2922;-54,2237;2;120;618;655;655;813;1019;1079;2252
Jóia;4311155;-28,6435;-54,1141;380;2221;1631;3774;3774;5174;6922;9149;16877
Júlio de Castilhos;4311205;-29,2298;-53,67719999999;2253;7377;9672;10061;10061;10905;11746;13010;27173
Lagoa Bonita do Sul;4311239;-29,48819999999;-53,0138;4;15;91;100;100;110;158;187;499
Lagoa dos Três Cantos;4311270;-28,56759999999;-52,8618;232;690;800;1328;1328;1545;1159;1180;4232
Lagoa Vermelha;4311304;-28,20929999999;-51,52479999999;4385;14383;18259;19347;19347;20350;17153;15140;26313
Lagoão;4311254;-29,2348;-52,7997;108;458;625;642;642;978;929;1300;2857
Lajeado;4311403;-29,45909999999;-51,96439999999;40002;138728;236258;263018;263018;227522;211063;221461;295044
Lajeado do Bugre;4311429;-27,69129999999;-53,1818;12;133;359;409;409;509;639;815;1350
Lavras do Sul;4311502;-30,80709999999;-53,89309999999;974;2852;3381;3069;3069;2858;2611;2443;4532
Liberato Salzano;4311601;-27,60099999999;-53,07529999999;44;237;674;811;811;969;1041;1274;1098
Lindolfo Collor;4311627;-29,58589999999;-51,2141;307;1015;1437;1665;1665;1714;1748;2055;7211
Linha Nova;4311643;-29,4679;-51,20029999999;125;685;792;1028;1028;1233;1440;1884;2363
Maçambará;4311718;-29,1445;-56,06739999999;44;218;911;1132;1132;1819;1739;3041;4983
Machadinho;4311700;-27,5667;-51,6668;349;1151;1235;1280;1280;1325;1821;1353;1502
Mampituba;4311734;-29,2136;-49,9311;77;47;80;79;79;92;136;289;567
Manoel Viana;4311759;-29,58589999999;-55,48409999999;1123;3541;5215;6068;6068;6660;4099;3701;5105
Maquiné;4311775;-29,6798;-50,2079;361;1006;1128;1223;1223;1407;1754;2306;18083
Maratá;4311791;-29,5457;-51,55729999999;123;786;1142;1958;1958;2282;2869;3505;5062
Marau;4311809;-28,4498;-52,19859999999;8962;29792;38168;41519;41519;37940;47228;80132;124504
Marcelino Ramos;4311908;-27,4676;-51,9095;827;2580;2934;2899;2899;2288;3602;4649;12372
Mariana Pimentel;4311981;-30,3531;-51,5803;229;708;624;587;587;743;1003;893;3299
Mariano Moro;4312005;-27,3568;-52,1467;107;479;754;832;832;820;796;816;1933
Marques de Souza;4312054;-29,33109999999;-52,09729999999;154;463;544;485;485;472;387;382;4639
Mata;4312104;-29,5649;-54,4641;471;1415;1240;1280;1280;1288;1395;1400;2379
Mato Castelhano;4312138;-28,28;-52,19319999999;139;211;791;1391;1391;9110;2140;2704;3075
Mato Leitão;4312153;-29,5285;-52,1278;201;702;940;1001;1001;951;972;974;1069
Mato Queimado;4312179;-28,2475;-54,61919999999;18;201;439;654;654;228;112;116;146
Maximiliano de Almeida;4312203;-27,6325;-51,8021;252;800;994;1140;1140;1111;1340;1296;2790
Minas do Leão;4312252;-30,13459999999;-52,04229999999;778;2099;2530;2264;2264;2180;2229;2528;4770
Miraguaí;4312302;-27,497;-53,6891;225;660;728;713;713;765;699;583;4735
Montauri;4312351;-28,6462;-52,0767;578;1527;4935;4084;4084;4512;5545;7328;1092
Monte Alegre dos Campos;4312377;-28,68049999999;-50,7834;8;22;111;91;91;85;462;965;3241
Monte Belo do Sul;4312385;-29,16069999999;-51,63329999999;191;892;1198;1225;1225;1397;1684;1345;4462
Montenegro;4312401;-29,6824;-51,4679;21873;61810;80927;90497;90497;94102;91354;98593;136704
Mormaço;4312427;-28,6968;-52,6999;95;447;530;1117;1117;1423;1194;1282;3624
Morrinhos do Sul;4312443;-29,3578;-49,9328;274;538;595;596;596;615;643;652;592
Morro Redondo;4312450;-31,58869999999;-52,6261;94;447;1585;4004;4004;4740;5656;8034;7520
Morro Reuter;4312476;-29,5379;-51,08109999999;825;2751;2487;2869;2869;4741;4179;10394;20113
Mostardas;4312500;-31,10539999999;-50,91669999999;1296;4243;6373;7517;7517;8280;8700;10561;11866
Muçum;4312609;-29,163;-51,8714;1320;5215;6294;6018;6018;6463;5395;4388;8900
Muitos Capões;4312617;-28,31319999999;-51,18359999999;20;50;130;137;137;165;191;342;1514
Muliterno;4312625;-28,32529999999;-51,7697;111;195;628;1108;1108;1418;1784;2236;3482
