variavel: Total;;;;;;;;;;;;
caminho: /Educação/Ensino Médio/Taxa de Reprovação/Total;;;;;;;;;;;;
fonte: Instituto Nacional de Estudos e Pesquisas Educacionais.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Dois Lajeados;4306452;-28,983;-51,83959999999;5,6;4,5;-;1,1;2,9;2,5;4,1;0;0
Dom Feliciano;4306502;-30,70039999999;-52,1026;32,9;29,2;19,6;11,2;16,4;20,2;17,8;25,7;15,3
Dom Pedrito;4306601;-30,9756;-54,6694;35,7;35,2;17,5;19,4;17;19,5;21,2;26,3;33,4
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;5,1;6,3;4;8,2;5,7;18,1;3,5;3,3;2,8
Dona Francisca;4306700;-29,61949999999;-53,36169999999;22,9;16,1;39;14,3;21,8;16,1;27,7;31,8;27,3
Doutor Maurício Cardoso;4306734;-27,5103;-54,35779999999;6,5;8,5;3,2;1,6;2,2;3,6;7;5,2;13,3
Doutor Ricardo;4306759;-29,084;-51,9971;8;4,2;9;8,2;9,6;0;8,6;2;4,1
Eldorado do Sul;4306767;-30,0847;-51,61869999999;44,3;45,6;28,2;15,4;12,4;13,7;17,7;15,6;19,3
Encantado;4306809;-29,23509999999;-51,8703;14,8;14,4;10,2;8,5;7,4;11,5;18,3;13,5;16,3
Encruzilhada do Sul;4306908;-30,54299999999;-52,5204;14,2;18;15,1;11,7;7,4;8,5;10,9;11,5;16
Engenho Velho;4306924;-27,706;-52,91449999999;7,3;1,9;2;3,7;27,5;9,5;1,8;10,6;9,1
Entre Rios do Sul;4306957;-27,5298;-52,73469999999;6,8;13,5;3,2;1,9;3,8;12,8;13,5;5,9;7,4
Entre-ijuís;4306932;-28,3686;-54,26859999999;1,8;1,6;7,8;16,3;7,1;15,5;5,9;12,1;19,8
Erebango;4306973;-27,85439999999;-52,3005;17;1,2;5,6;4,2;16,8;9,3;10,4;21,2;17,1
Erechim;4307005;-27,63639999999;-52,2697;14,1;14,7;11,3;9,7;8,8;10,2;11,7;10,7;11,8
Ernestina;4307054;-28,49769999999;-52,58359999999;15,3;26;15,2;12;13,5;28;16;12,7;31,5
Erval Grande;4307203;-27,3926;-52,57399999999;5,1;4,2;7,3;0,7;3;7,4;9,7;2,5;6,3
Erval Seco;4307302;-27,5443;-53,5005;17,4;12,3;15,4;16,2;13,3;11,3;15,1;8,9;7,9
Esmeralda;4307401;-28,0518;-51,1933;16,3;28;17,3;27,6;27,1;25,2;21,9;28,8;28,9
Esperança do Sul;4307450;-27,36029999999;-53,9891;29,3;13,6;5,1;8,2;13,7;18,3;27;36,3;32,4
Espumoso;4307500;-28,7286;-52,8461;23,1;17,5;17,3;16,8;13,3;25,6;27,2;20,4;23
Estação;4307559;-27,91349999999;-52,2635;15,4;18,3;13,5;11,8;15,5;12,9;17,3;9,6;9,9
Estância Velha;4307609;-29,6535;-51,1843;20,5;19,2;13,1;12;11,1;12,7;12,4;10,2;9,4
Esteio;4307708;-29,852;-51,1841;26,4;21,9;15,7;18,9;18,1;18,7;21,2;22,6;23
Estrela;4307807;-29,5016;-51,9605;16,5;16,5;11;10,6;5,7;7,8;9;8;8,5
Estrela Velha;4307815;-29,17129999999;-53,16389999999;23,5;8,7;2;7,5;0,9;0,9;0;0;6,8
Eugênio de Castro;4307831;-28,5315;-54,15059999999;13,9;15,9;1,4;6,8;13,6;17,5;20,6;5,9;25
Fagundes Varela;4307864;-28,8794;-51,7014;19,1;1,3;3,6;2,7;1,3;2,8;7,5;0;3,2
Farroupilha;4307906;-29,2227;-51,3419;15,6;18,7;17,4;14,1;16,1;13,8;14,2;12,5;10,6
Faxinal do Soturno;4308003;-29,5788;-53,44839999999;25,3;31,6;12,5;3,8;2,6;5,8;12,1;14,3;14,8
Faxinalzinho;4308052;-27,4238;-52,67889999999;12,9;26,4;5,1;12,1;8,5;13,1;10,8;8,9;23,2
Fazenda Vilanova;4308078;-29,5885;-51,8217;2,8;1,3;5,7;3;6,4;9,8;8,1;8,1;5,9
Feliz;4308102;-29,4527;-51,30319999999;17,5;15,2;16,8;12;18,7;13,3;12,4;11,6;7,5
Flores da Cunha;4308201;-29,02619999999;-51,1875;18,4;11,7;10,2;11,1;10,8;9,7;12,1;10,5;14,1
Floriano Peixoto;4308250;-27,8614;-52,08379999999;1,6;2,7;-;-;8,2;5,3;0;0;6,4
Fontoura Xavier;4308300;-28,9816;-52,34449999999;8,5;9,6;10,4;11,4;9,8;15,3;13,9;22,2;18,5
Formigueiro;4308409;-30,00349999999;-53,49589999999;40,6;39,3;7,5;20,1;30,4;38,9;30,4;32;62,3
Forquetinha;4308433;-29,3792;-52,0917;5,3;1,3;22,2;3,4;6,8;4,3;7,6;14;25,8
Fortaleza dos Valos;4308458;-28,7986;-53,22489999999;23,1;11,9;22,3;9,8;17,3;13,6;9,6;9,6;13,5
Frederico Westphalen;4308508;-27,35859999999;-53,3958;18,6;9,2;6,6;9,6;8,3;11,4;13,2;10,3;11,3
Garibaldi;4308607;-29,259;-51,5352;17,7;28,7;9,2;17,3;17,8;8,9;16,2;10,8;15,2
Garruchos;4308656;-28,1944;-55,6383;10,1;14,5;7,6;2,9;6,1;12,2;16,3;5,9;2,5
Gaurama;4308706;-27,58559999999;-52,0915;1,7;7,2;11,3;11,9;6,1;6,2;5,8;10,3;3,2
General Câmara;4308805;-29,90319999999;-51,7612;10,3;9,6;4,3;9,1;14;6,7;6,7;7,2;5
Gentil;4308854;-28,4316;-52,0337;25;2;6,5;13,8;9,1;5,7;14,8;24,1;36,4
Getúlio Vargas;4308904;-27,8911;-52,22939999999;21,4;12,7;15,3;6,3;11,5;7,8;11,4;13,2;19,7
Giruá;4309001;-28,02969999999;-54,3517;14,2;22,3;11,9;7;12,7;14,9;15,8;16,9;11,7
Glorinha;4309050;-29,87979999999;-50,7734;16,1;21,5;12,6;9,4;12,6;17,1;19,2;10,1;19,2
Gramado;4309100;-29,3733;-50,87619999999;10,4;24,7;28,7;10,1;16,6;9,1;8,6;16,7;18
Gramado dos Loureiros;4309126;-27,4429;-52,9149;21,5;22,3;18,4;9,2;30,6;23;23;16,4;18,8
Gramado Xavier;4309159;-29,2706;-52,5795;6;8,5;11,2;1,8;8,2;10,6;8,2;13,6;10,3
Gravataí;4309209;-29,94129999999;-50,98689999999;20,8;21,9;18,6;15,7;15,2;20,6;16,8;17;16,6
Guabiju;4309258;-28,5421;-51,6948;19;1,8;1,8;6,9;2,7;8,8;10,7;6,1;2,7
Guaíba;4309308;-30,10859999999;-51,3233;26,7;28,4;22,8;19,2;15,5;15,3;18,5;15,5;17,1
Guaporé;4309407;-28,8399;-51,88949999999;12,7;14,5;14,9;9,9;12,4;15,6;13,7;13,9;13,5
Guarani das Missões;4309506;-28,1491;-54,56289999999;3,2;3,2;6,6;3,2;5,5;7,6;9,8;5,7;4,3
Harmonia;4309555;-29,5456;-51,4185;7,9;12,4;5,1;6,8;5,7;7,3;7,2;4,9;10,5
Herval;4307104;-32,024;-53,39439999999;11,4;5,4;7,6;10,7;3,9;13,2;22,5;20;34,9
Herveiras;4309571;-29,4552;-52,65529999999;11,3;8,1;15,8;12;8,6;9,3;8,3;5,9;13
Horizontina;4309605;-27,6282;-54,3053;18,4;18,5;13,1;13,2;16,7;19,1;17,4;24,6;13,7
Hulha Negra;4309654;-31,4067;-53,8667;11,5;4,3;4,8;4,2;3;11,4;18,5;14,7;10,5
Humaitá;4309704;-27,56909999999;-53,96949999999;8,1;11,6;11,6;17,5;7,8;9,3;11,5;13,7;10,5
Ibarama;4309753;-29,4203;-53,1295;20,7;2,6;9,3;9,8;8,6;6,4;5,3;8;13,4
Ibiaçá;4309803;-28,0566;-51,8599;22,2;36,6;34,5;22,3;17;7,3;13,9;9;17
Ibiraiaras;4309902;-28,37409999999;-51,6377;9,1;13,1;10,6;6;4,8;9,4;8,8;11,1;5,2
Ibirapuitã;4309951;-28,6247;-52,51579999999;9,2;8,8;9;10,4;2,7;9,6;17,6;6,5;16,4
Ibirubá;4310009;-28,63019999999;-53,0961;15,9;19,6;24,7;19,6;16,6;20;12,6;10,2;13,3
Igrejinha;4310108;-29,56929999999;-50,79189999999;13,1;16,4;9,7;10,1;6,7;14,5;13,4;16,8;17,2
Ijuí;4310207;-28,3881;-53,92;19,4;18,7;16,1;21;13,2;15,5;16,6;15,7;14,5
Ilópolis;4310306;-28,9282;-52,12579999999;3,9;9,5;5,4;9,2;6;7,9;8,6;6,5;10,5
Imbé;4310330;-29,9753;-50,1281;23,2;21,4;20,8;12,3;18,6;13,7;21,9;18,3;30,4
Imigrante;4310363;-29,3508;-51,7747;4,3;4,1;3,6;2,6;2,7;3,6;9;1,4;9,6
Independência;4310405;-27,8354;-54,1886;24,2;21,7;6,4;7,1;6,9;14,2;20,1;8,3;21,5
Inhacorá;4310413;-27,8752;-54,015;16,8;15,5;1,1;4,4;20,2;13,3;21,8;5,2;16,1
Ipê;4310439;-28,8171;-51,28589999999;11,8;11,1;1,7;8,6;6,2;8,4;8,8;4,8;3
Ipiranga do Sul;4310462;-27,9404;-52,4271;1,3;2,7;11,3;4,9;4,6;4,4;0;0;0
Iraí;4310504;-27,1951;-53,2543;18,5;9,2;10,3;12;12,6;18,8;24,5;27,3;32,7
Itaara;4310538;-29,60129999999;-53,7725;29,2;33,8;22,3;20,9;9,4;6,7;16,4;16,4;23,6
Itacurubi;4310553;-28,7913;-55,2447;14,9;23,7;8,6;4,2;12,3;12,3;40,7;6,9;14
Itapuca;4310579;-28,7768;-52,1693;13,7;-;18,8;11,9;9,6;5,3;4,2;9,5;14,3
Itaqui;4310603;-29,131;-56,55149999999;31,7;33,8;30,1;23,3;13,1;19;20,1;16;17,9
Itati;4310652;-29,48832;-50,11357999999;16,7;16,2;9,6;5,9;18,6;20,9;18,6;10,1;3,7
Itatiba do Sul;4310702;-27,38459999999;-52,4538;2,1;6,7;4;9,6;5;5,7;23,3;7,8;15,7
Ivorá;4310751;-29,52319999999;-53,5842;21;13,9;16,5;-;10,8;6,8;3;11,5;11,3
Ivoti;4310801;-29,59949999999;-51,1533;14,1;11;4,3;4,6;8;10,5;15,4;19,4;10,4
Jaboticaba;4310850;-27,63469999999;-53,2762;15,2;26,6;18,2;15,7;20;10,9;16,2;12,5;27,3
Jacuizinho;4310876;-29,02199999999;-53,05369999999;27,7;12;11,3;6,3;30,8;26,9;29,1;20,5;28,1
Jacutinga;4310900;-27,72909999999;-52,53719999999;4,1;0,7;4,2;1,6;0;1;8,5;1,5;1,9
Jaguarão;4311007;-32,5604;-53,377;26,7;25,8;23,2;21,6;20,2;18,5;18,6;24;24,1
Jaguari;4311106;-29,4936;-54,703;20,5;16,9;14,5;18,2;13,6;13,7;11,9;11,4;7,2
