variavel: Total;;;;;;;;
caminho: /Educação/Ensino Fundamental/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Manoel Viana;4311759;-29,58589999999;-55,48409999999;98;93;73;89;85
Maquiné;4311775;-29,6798;-50,2079;100;83;66;90;80
Maratá;4311791;-29,5457;-51,55729999999;44;27;35;27;21
Marau;4311809;-28,4498;-52,19859999999;424;458;402;446;459
Marcelino Ramos;4311908;-27,4676;-51,9095;63;72;62;49;68
Mariana Pimentel;4311981;-30,3531;-51,5803;54;40;43;47;42
Mariano Moro;4312005;-27,3568;-52,1467;31;26;31;33;30
Marques de Souza;4312054;-29,33109999999;-52,09729999999;50;43;38;51;39
Mata;4312104;-29,5649;-54,4641;88;68;65;66;76
Mato Castelhano;4312138;-28,28;-52,19319999999;46;41;26;39;28
Mato Leitão;4312153;-29,5285;-52,1278;37;49;54;57;57
Mato Queimado;4312179;-28,2475;-54,61919999999;23;24;26;26;26
Maximiliano de Almeida;4312203;-27,6325;-51,8021;64;75;59;59;63
Minas do Leão;4312252;-30,13459999999;-52,04229999999;64;73;81;92;61
Miraguaí;4312302;-27,497;-53,6891;76;60;81;49;71
Montauri;4312351;-28,6462;-52,0767;31;22;15;18;9
Monte Alegre dos Campos;4312377;-28,68049999999;-50,7834;54;56;35;38;55
Monte Belo do Sul;4312385;-29,16069999999;-51,63329999999;23;33;17;22;41
Montenegro;4312401;-29,6824;-51,4679;691;673;645;646;525
Mormaço;4312427;-28,6968;-52,6999;48;38;40;60;42
Morrinhos do Sul;4312443;-29,3578;-49,9328;45;41;42;46;33
Morro Redondo;4312450;-31,58869999999;-52,6261;67;59;62;69;40
Morro Reuter;4312476;-29,5379;-51,08109999999;65;69;79;68;62
Mostardas;4312500;-31,10539999999;-50,91669999999;134;164;141;159;162
Muçum;4312609;-29,163;-51,8714;61;63;52;65;47
Muitos Capões;4312617;-28,31319999999;-51,18359999999;43;43;28;36;34
Muliterno;4312625;-28,32529999999;-51,7697;22;21;31;20;16
Não-Me-Toque;4312658;-28,45479999999;-52,81819999999;185;144;137;170;131
Nicolau Vergueiro;4312674;-28,5298;-52,46759999999;16;17;23;34;13
Nonoai;4312708;-27,3689;-52,77559999999;191;162;180;154;106
Nova Alvorada;4312757;-28,6822;-52,1631;36;41;50;35;45
Nova Araçá;4312807;-28,6537;-51,7458;59;65;57;51;54
Nova Bassano;4312906;-28,72909999999;-51,7072;91;80;89;125;120
Nova Boa Vista;4312955;-27,99259999999;-52,9784;35;35;30;32;36
Nova Bréscia;4313003;-29,2182;-52,0319;42;38;43;30;60
Nova Candelária;4313011;-27,6137;-54,10739999999;27;32;36;33;41
Nova Esperança do Sul;4313037;-29,4066;-54,8293;77;67;49;62;52
Nova Hartz;4313060;-29,5807;-50,90509999999;242;284;242;241;201
Nova Pádua;4313086;-29,0275;-51,3098;38;22;28;21;16
Nova Palma;4313102;-29,471;-53,46889999999;94;85;79;72;72
Nova Petrópolis;4313201;-29,37409999999;-51,1135;241;234;211;186;215
Nova Prata;4313300;-28,7799;-51,6113;251;238;253;267;268
Nova Ramada;4313334;-28,0667;-53,69919999999;22;29;36;44;22
Nova Roma do Sul;4313359;-28,98819999999;-51,4095;34;39;41;35;31
Nova Santa Rita;4313375;-29,85249999999;-51,2837;254;234;264;228;235
Novo Barreiro;4313490;-27,90769999999;-53,1103;54;46;69;63;21
Novo Cabrais;4313391;-29,73379999999;-52,9489;56;56;55;47;49
Novo Hamburgo;4313409;-29,6876;-51,1328;2645;2876;2557;2346;2327
Novo Machado;4313425;-27,57649999999;-54,50359999999;51;44;47;44;51
Novo Tiradentes;4313441;-27,5649;-53,1837;37;22;31;23;29
Novo Xingu;4313466;-27,74309999999;-53,06159999999;21;16;20;16;14
Osório;4313508;-29,8881;-50,2667;479;466;451;479;521
Paim Filho;4313607;-27,7075;-51,76299999999;46;71;48;76;37
Palmares do Sul;4313656;-30,25349999999;-50,5103;310;149;117;137;131
Palmeira das Missões;4313706;-27,9006;-53,3134;425;412;402;411;433
Palmitinho;4313805;-27,3596;-53,558;92;102;119;82;100
Panambi;4313904;-28,2833;-53,50229999999;429;442;504;475;349
Pantano Grande;4313953;-30,1901;-52,3729;144;154;140;125;117
Paraí;4314001;-28,59639999999;-51,7896;91;92;88;100;74
Paraíso do Sul;4314027;-29,6717;-53,14399999999;82;69;76;62;82
Pareci Novo;4314035;-29,6365;-51,39739999999;49;38;35;31;33
Parobé;4314050;-29,6243;-50,8312;636;675;652;729;685
Passa Sete;4314068;-29,45769999999;-52,95989999999;74;65;71;78;59
Passo do Sobrado;4314076;-29,748;-52,27479999999;84;47;67;59;67
Passo Fundo;4314100;-28,2576;-52,4091;2236;2217;2241;2283;2119
Paulo Bento;4314134;-27,6978;-52,42609999999;22;23;28;28;23
