variavel: Total;;;;
caminho: /Demografia/População/Censos Demográficos/Total;;;;
fonte: Núcleo de Demografia e Previdência;;;;
agrupador: Município;;;;
descricao: ;;;;
Município;ibge;latitude;longitude;2010 (-)
Quaraí;4315305;-30,384;-56,4483;23021
Quatro Irmãos;4315313;-27,81629999999;-52,44189999999;1775
Quevedos;4315321;-29,3504;-54,07889999999;2710
Quinze de Novembro;4315354;-28,7465;-53,1011;3653
Redentora;4315404;-27,664;-53,6407;10222
Relvado;4315453;-29,11639999999;-52,0778;2155
Restinga Sêca;4315503;-29,8188;-53,38069999999;15849
Rio dos Índios;4315552;-27,2973;-52,8417;3616
Rio Grande;4315602;-32,0349;-52,1071;197228
Rio Pardo;4315701;-29,988;-52,37109999999;37591
Riozinho;4315750;-29,63899999999;-50,44879999999;4330
Roca Sales;4315800;-29,28839999999;-51,8658;10284
Rodeio Bonito;4315909;-27,4742;-53,1706;5743
Rolador;4315958;-28,25767;-54,81864;2546
Rolante;4316006;-29,6462;-50,58189999999;19485
Ronda Alta;4316105;-27,7758;-52,80559999999;10221
Rondinha;4316204;-27,83149999999;-52,90809999999;5518
Roque Gonzales;4316303;-28,1297;-55,0266;7203
Rosário do Sul;4316402;-30,2515;-54,9221;39707
Sagrada Família;4316428;-27,7085;-53,1351;2595
Saldanha Marinho;4316436;-28,3941;-53,097;2869
Salto do Jacuí;4316451;-29,09509999999;-53,21329999999;11880
Salvador das Missões;4316477;-28,1233;-54,83729999999;2669
Salvador do Sul;4316501;-29,4386;-51,5077;6747
Sananduva;4316600;-27,94699999999;-51,80789999999;15373
Santa Bárbara do Sul;4316709;-28,3653;-53,25099999999;8829
Santa Cecília do Sul;4316733;-28,1537;-51,9296;1655
Santa Clara do Sul;4316758;-29,47469999999;-52,08429999999;5697
Santa Cruz do Sul;4316808;-29,722;-52,4343;118374
Santa Margarida do Sul;4316972;-30,32959999999;-54,08229999999;2352
Santa Maria;4316907;-29,6868;-53,81499999999;261031
Santa Maria do Herval;4316956;-29,4902;-50,9919;6053
Santa Rosa;4317202;-27,8702;-54,47959999999;68587
Santa Tereza;4317251;-29,1655;-51,7351;1720
Santa Vitória do Palmar;4317301;-33,52499999999;-53,37169999999;30990
Santana da Boa Vista;4317004;-30,8697;-53,10999999999;8242
Santana do Livramento;4317103;-30,88769999999;-55,5315;82464
Santiago;4317400;-29,18969999999;-54,86659999999;49071
Santo Ângelo;4317509;-28,3001;-54,2668;76275
Santo Antônio da Patrulha;4317608;-29,82679999999;-50,51749999999;39685
Santo Antônio das Missões;4317707;-28,51399999999;-55,22509999999;11210
Santo Antônio do Palma;4317558;-28,4956;-52,02669999999;2139
Santo Antônio do Planalto;4317756;-28,40309999999;-52,69919999999;1987
Santo Augusto;4317806;-27,85259999999;-53,7776;13968
Santo Cristo;4317905;-27,8263;-54,66199999999;14378
Santo Expedito do Sul;4317954;-27,90739999999;-51,6433;2461
São Borja;4318002;-28,6578;-56,00359999999;61671
São Domingos do Sul;4318051;-28,53119999999;-51,886;2926
São Francisco de Assis;4318101;-29,5547;-55,1253;19254
São Francisco de Paula;4318200;-29,4404;-50,58279999999;20537
São Gabriel;4318309;-30,3337;-54,3217;60425
São Jerônimo;4318408;-29,97159999999;-51,72509999999;22134
São João da Urtiga;4318424;-27,8195;-51,82569999999;4726
São João do Polêsine;4318432;-29,61939999999;-53,44389999999;2635
São Jorge;4318440;-28,4984;-51,7064;2774
São José das Missões;4318457;-27,7789;-53,12259999999;2720
São José do Herval;4318465;-29,052;-52,295;2204
São José do Hortêncio;4318481;-29,52799999999;-51,245;4094
São José do Inhacorá;4318499;-27,7251;-54,12749999999;2200
São José do Norte;4318507;-32,01509999999;-52,03309999999;25503
São José do Ouro;4318606;-27,7707;-51,5966;6904
São José do Sul;4318614;-29,529;-51,48709999999;2082
São José dos Ausentes;4318622;-28,74759999999;-50,0677;3290
São Leopoldo;4318705;-29,7545;-51,14979999999;214087
São Lourenço do Sul;4318804;-31,3564;-51,97149999999;43111
São Luiz Gonzaga;4318903;-28,41199999999;-54,9559;34556
São Marcos;4319000;-28,9677;-51,0696;20103
São Martinho;4319109;-27,7112;-53,9699;5773
São Martinho da Serra;4319125;-29,5397;-53,859;3201
São Miguel das Missões;4319158;-28,556;-54,5559;7421
São Nicolau;4319208;-28,18339999999;-55,2654;5727
São Paulo das Missões;4319307;-28,0195;-54,94039999999;6364
São Pedro da Serra;4319356;-29,4193;-51,51339999999;3315
São Pedro das Missões;4319364;-27,77321999999;-53,25047;1886
São Pedro do Butiá;4319372;-28,1243;-54,8926;2873
São Pedro do Sul;4319406;-29,6202;-54,18549999999;16368
São Sebastião do Caí;4319505;-29,5885;-51,37489999999;21932
São Sepé;4319604;-30,1643;-53,56029999999;23798
São Valentim;4319703;-27,55829999999;-52,52369999999;3632
São Valentim do Sul;4319711;-29,0451;-51,7684;2168
São Valério do Sul;4319737;-27,7906;-53,93679999999;2647
São Vendelino;4319752;-29,3729;-51,3675;1944
São Vicente do Sul;4319802;-29,68819999999;-54,6826;8440
Sapiranga;4319901;-29,63489999999;-51,0065;74985
Sapucaia do Sul;4320008;-29,8276;-51,145;130957
Sarandi;4320107;-27,942;-52,92309999999;21285
Seberi;4320206;-27,4829;-53,4026;10897
Sede Nova;4320230;-27,6367;-53,9493;3011
Segredo;4320263;-29,3523;-52,9767;7158
Selbach;4320305;-28,6294;-52,9498;4929
Senador Salgado Filho;4320321;-28,025;-54,55069999999;2814
Sentinela do Sul;4320354;-30,6107;-51,58619999999;5198
Serafina Corrêa;4320404;-28,71259999999;-51,93529999999;14253
Sério;4320453;-29,3904;-52,2685;2281
Sertão;4320503;-27,9798;-52,2588;6294
Sertão Santana;4320552;-30,45619999999;-51,6017;5850
Sete de Setembro;4320578;-28,13619999999;-54,4637;2124
Severiano de Almeida;4320602;-27,43619999999;-52,12169999999;3842
Silveira Martins;4320651;-29,64669999999;-53,591;2449
Sinimbu;4320677;-29,53569999999;-52,5305;10068
Sobradinho;4320701;-29,4194;-53,0326;14283
Soledade;4320800;-28,8306;-52,5131;30044
Tabaí;4320859;-29,643;-51,68229999999;4131
Tapejara;4320909;-28,0652;-52,0097;19250
Tapera;4321006;-28,6277;-52,86119999999;10448
Tapes;4321105;-30,66829999999;-51,39909999999;16629
Taquara;4321204;-29,6505;-50,7753;54643
Taquari;4321303;-29,7943;-51,86529999999;26092
Taquaruçu do Sul;4321329;-27,4004;-53,4703;2966
Tavares;4321352;-31,2843;-51,088;5351
Tenente Portela;4321402;-27,37109999999;-53,75849999999;13719
Terra de Areia;4321436;-29,57819999999;-50,06439999999;9878
Teutônia;4321451;-29,4482;-51,8044;27272
Tio Hugo;4321469;-28,57404;-52,5949;2724
Tiradentes do Sul;4321477;-27,4022;-54,0814;6461
Toropi;4321493;-29,4782;-54,2244;2952
Torres;4321501;-29,3334;-49,7333;34656
Tramandaí;4321600;-29,9841;-50,13219999999;41585
Travesseiro;4321626;-29,29769999999;-52,05319999999;2314
Três Arroios;4321634;-27,50029999999;-52,14479999999;2855
Três Cachoeiras;4321667;-29,44869999999;-49,9275;10217
Três Coroas;4321709;-29,5137;-50,77389999999;23848
Três de Maio;4321808;-27,78;-54,2357;23726
Três Forquilhas;4321832;-29,53839999999;-50,07079999999;2914
Três Palmeiras;4321857;-27,6139;-52,84369999999;4381
Três Passos;4321907;-27,4555;-53,9296;23965
Trindade do Sul;4321956;-27,5239;-52,8956;5787
Triunfo;4322004;-29,92909999999;-51,7075;25793
Tucunduva;4322103;-27,65729999999;-54,44389999999;5898
Tunas;4322152;-29,10389999999;-52,9538;4395
Tupanci do Sul;4322186;-27,92409999999;-51,5383;1573
Tupanciretã;4322202;-29,08579999999;-53,84449999999;22281
Tupandi;4322251;-29,4772;-51,4174;3924
Tuparendi;4322301;-27,75979999999;-54,4814;8557
Turuçu;4322327;-31,4173;-52,1706;3522
